Taille,0:[15  3],1:[12  9],2:[15 13],3:[11 15],4:[12 10],5:[10 12]
0,[[0 0]],[[0 0]],[[0 0]],[[0 0]],[[0 0]],[[0 0]]
1,[[15  3]],"[[12  9]
 [15  3]]","[[12  9]
 [15  3]]","[[11 15]
 [12  9]
 [15  3]]","[[11 15]
 [12  9]
 [15  3]]","[[10 12]
 [12  9]
 [15  3]]"
2,[],[[27 12]],[[27 12]],"[[23 24]
 [26 18]
 [27 12]]","[[24 19]
 [23 24]
 [26 18]
 [27 12]]","[[21 27]
 [22 21]
 [25 15]
 [24 19]
 [27 12]]"
3,[],[],[[42 25]],"[[38 27]
 [42 25]]","[[35 34]
 [39 22]
 [38 27]]","[[34 31]
 [33 36]
 [36 30]
 [37 24]
 [39 22]]"
